t,gamma,corr,tsource
0,G5_G5,(13.119978188364502+0j),0
1,G5_G5,(6.741274893345436+0j),0
2,G5_G5,(0.5023809334264677+0j),0
3,G5_G5,(6.901004736873723+0j),0
0,G5_G5,(13.1542611153363+0j),1
1,G5_G5,(8.079611646884302+0j),1
2,G5_G5,(0.6540197469689594+0j),1
3,G5_G5,(7.99023379026597+0j),1
0,G5_G5,(13.024370113846858+0j),2
1,G5_G5,(7.6224386674362155+0j),2
2,G5_G5,(0.5734747043852411+0j),2
3,G5_G5,(7.21789582416252+0j),2
0,G5_G5,(13.566889478532527+0j),3
1,G5_G5,(7.7644524774268815+0j),3
2,G5_G5,(0.7167751595847774+0j),3
3,G5_G5,(8.28195778939428+0j),3
